FULL TEAM NAME,BACKGROUND HEX,FONT HEX
Arizona Cardinals,#c81842,#ffffff
Atlanta Falcons,#000000,#a9132d
Baltimore Ravens,#351c75,#997712
Buffalo Bills,#01318e,#ffffff
Carolina Panthers,#0087c9,#000000
Chicago Bears,#171c33,#ff4416
Cincinnati Bengals,#fb4f13,#000000
Cleveland Browns,#783f04,#ff4416
Dallas Cowboys,#ffffff,#214a75
Denver Broncos,#fc4c01,#0c2244
Detroit Lions,#0076b4,#b2b8bb
Green Bay Packers,#2d4d30,#ffb822
Houston Texans,#cc0000,#021019
Indianapolis Colts,#00336a,#ffffff
Jacksonville Jaguars,#016779,#d7a229
Kansas City Chiefs,#e42138,#f1c232
Las Vegas Raiders,#0a0a0a,#c7c7c7
Los Angeles Chargers,#007ec3,#ffc20f
Los Angeles Rams,#fed21c,#083b98
Miami Dolphins,#34a853,#ff9f00
Minnesota Vikings,#5e3388,#fec733
New England Patriots,#c61c31,#b1b7bc
New Orleans Saints,#d4bc8d,#000000
New York Giants,#6fa8dc,#a71930
New York Jets,#0f573f,#ffffff
Philadelphia Eagles,#128e5a,#ffffff
Pittsburgh Steelers,#090909,#fdc41b
San Francisco 49ers,#cc0000,#fbbc04
Seattle Seahawks,#012244,#69bb2d
Tampa Bay Buccaneers,#a71930,#b3b9be
Tennessee Titans,#4a92db,#012244
Washington Commanders,#a71930,#ffb612
,,
TEAM ABBREVIATION,BACKGROUND HEX,FONT HEX
ARI,#c81842,#ffffff
ATL,#000000,#a9132d
bal,#351c75,#997712
BUF,#01318e,#ffffff
CAR,#0087c9,#000000
CHI,#171c33,#ff4416
CIN,#fb4f13,#000000
CLE,#783f04,#ff4416
dal,#ffffff,#214a75
den,#fc4c01,#0c2244
det,#0076b4,#b2b8bb
gb,#2d4d30,#ffb822
hou,#cc0000,#021019
IND,#00336a,#ffffff
JAX,#016779,#d7a229
kc,#e42138,#f1c232
lac,#0a0a0a,#c7c7c7
lar,#007ec3,#ffc20f
LV,#fed21c,#083b98
MIA,#34a853,#ff9f00
min,#5e3388,#fec733
NE,#c61c31,#b1b7bc
NO,#d4bc8d,#000000
NYG,#6fa8dc,#a71930
NYJ,#0f573f,#ffffff
PHI,#128e5a,#ffffff
PIT,#090909,#fdc41b
SEA,#cc0000,#fbbc04
SF,#012244,#69bb2d
TB,#a71930,#b3b9be
TEN,#4a92db,#012244
was,#a71930,#ffb612
,,
OFFENSE RANK COLOR SCALE,BACKGROUND CELL HEX,FONT CELL HEX
GREAT (1-8),#b6d7a8,#274e13
GOOD (9-16),#f6e198,#783f04
FAIR (17-24),#c9cad5,#434343
POOR (25-32),#ea9999,#990000
,,
DEFENSE RANK COLOR SCALE,BACKGROUND CELL HEX,FONT CELL HEX
GREAT (25-32),#b6d7a8,#274e13
GOOD (17-24),#f6e198,#783f04
FAIR (9-16),#c9cad5,#434343
POOR (1-8),#ea9999,#990000
,,
PINNACLE CELL HEX,BACKGROUND CELL HEX,FONT CELL HEX
PIN,#234d83,#ff4416
,,
,,
APP BACKGROUND HEX,BACKGROUND HEX,ACCENT HEX
EUTHENIA,#262626,#1cbe1c
,,
,,
avl hex,,
negative,#38761d,#ffffff
positive,#cc0000,#ffffff
,,
,,
dvp color scale,BACKGROUND CELL HEX,FONT CELL HEX
25-32,#b6d7a8,#274e13
17-24,#f6e198,#783f04
9-16,#c9cad5,#434343
1-8,#ea9999,#990000
,,
,,
pff matchup color scale,BACKGROUND CELL HEX,FONT CELL HEX
GREAT (25-32),#b6d7a8,#274e13
GOOD (17-24),#f6e198,#783f04
FAIR (9-16),#c9cad5,#434343
POOR (1-8),#ea9999,#990000
,,
,,
pff player grades,background hex,font hex
90.2,#0087a5,#000000
88.9,#008b93,#000000
88.5,#008b93,#000000
87.7,#008d89,#000000
87.4,#008d89,#000000
86.6,#008f80,#000000
86.4,#008f80,#000000
86,#008f80,#000000
85,#009177,#000000
84.1,#00936e,#000000
83.9,#009565,#000000
83.7,#009565,#000000
83.2,#009565,#000000
83,#009565,#000000
82.9,#00975b,#000000
82,#00975b,#000000
81.4,#009952,#000000
81,#009952,#000000
80.6,#009b49,#000000
80.2,#009b49,#000000
80.1,#009b49,#000000
79.9,#0c9f42,#000000
79.7,#0c9f42,#000000
79.5,#0c9f42,#000000
79.4,#0c9f42,#000000
79.1,#0c9f42,#000000
78.9,#18a33a,#000000
78.8,#18a33a,#000000
78.7,#18a33a,#000000
78.6,#18a33a,#000000
78.3,#18a33a,#000000
78.1,#18a33a,#000000
77.8,#23a633,#000000
77.6,#23a633,#000000
77.2,#23a633,#000000
76.9,#2faa2c,#000000
76.7,#2faa2c,#000000
76.5,#2faa2c,#000000
76.3,#2faa2c,#000000
76.1,#2faa2c,#000000
75.9,#3bae25,#000000
75.7,#3bae25,#000000
75.4,#3bae25,#000000
75.3,#3bae25,#000000
75.2,#3bae25,#000000
75.1,#3bae25,#000000
74.9,#47b21d,#000000
74.8,#47b21d,#000000
74.7,#47b21d,#000000
74.2,#47b21d,#000000
73.7,#53b616,#000000
73.6,#53b616,#000000
73.5,#53b616,#000000
73.4,#53b616,#000000
73.1,#53b616,#000000
73,#53b616,#000000
72.7,#5eb90f,#000000
72.4,#5eb90f,#000000
72.3,#5eb90f,#000000
72.2,#5eb90f,#000000
72.1,#5eb90f,#000000
72,#5eb90f,#000000
71.8,#6abd07,#000000
71.7,#6abd07,#000000
71.6,#6abd07,#000000
71.4,#6abd07,#000000
71.3,#6abd07,#000000
71.2,#6abd07,#000000
70.9,#76c100,#000000
70.8,#76c100,#000000
70.7,#76c100,#000000
70.3,#76c100,#000000
70.2,#76c100,#000000
70.1,#76c100,#000000
70,#76c100,#000000
69.8,#84c300,#000000
69.7,#84c300,#000000
69.6,#84c300,#000000
69.3,#84c300,#000000
69.1,#84c300,#000000
69,#84c300,#000000
68.9,#91c400,#000000
68.8,#91c400,#000000
68.6,#91c400,#000000
68.5,#91c400,#000000
68.4,#91c400,#000000
68.2,#91c400,#000000
68.1,#91c400,#000000
67.9,#9fc600,#000000
67.8,#9fc600,#000000
67.7,#9fc600,#000000
67.6,#9fc600,#000000
67.5,#9fc600,#000000
67.4,#9fc600,#000000
